backend,n_qubits,state_type,state_index,shots_per_setting,settings,method,fidelity,hs_distance,estimated_purity,minimum_eigenvalue,reconstruction_seconds
numpy,3,product,0,100,27,linear,1.0,0.3046016381100766,1.09415,-0.14477601114409486,0.0014722910127602518
numpy,3,product,0,100,27,projected,0.9108903046167312,0.19817371980191362,0.8610533761167662,-4.0407645717101956e-17,0.00020154201774857938
numpy,3,product,0,100,27,low_rank,0.984843439137553,0.1741068191580669,0.9999999999999986,-1.0135021717717955e-16,0.00013833300909027457
numpy,3,product,0,100,27,shrinkage,0.8606844697788849,0.23332773481621016,0.7758107389026898,-7.229222029229163e-17,0.00019758299458771944
numpy,3,product,0,100,27,mle,0.9759220104690746,0.09534660150602284,0.960934907191982,1.0031492760855306e-16,0.10873979100142606
numpy,3,product,0,500,27,linear,0.991820667270714,0.10918231291588888,0.9955620000000001,-0.047544153894908854,0.0013727499754168093
numpy,3,product,0,500,27,projected,0.9648874972896679,0.07921335032148154,0.9360496843140904,-9.806872140397008e-18,0.00017416701302863657
numpy,3,product,0,500,27,low_rank,0.9977081932802799,0.06770272897610174,0.9999999999999983,-4.717814444120655e-17,0.00013504098751582205
numpy,3,product,0,500,27,shrinkage,0.8967322445613123,0.13552489650626587,0.8118314275022007,-1.378592844058419e-17,0.00019537500338628888
numpy,3,product,0,500,27,mle,0.9892166228310593,0.04094692746225853,0.9801098187112427,1.894686275185899e-16,0.10734854199108668
numpy,3,product,1,100,27,linear,0.991589979087115,0.25043981275070165,1.0459,-0.10961574678568295,0.0013599170197267085
numpy,3,product,1,100,27,projected,0.9259267576539861,0.16775820200486016,0.8799962571808969,-6.684576748589741e-17,0.0001489579735789448
numpy,3,product,1,100,27,low_rank,0.988358798627474,0.15258596024327345,1.0000000000000013,-4.801463770316751e-17,0.00012583300122059882
numpy,3,product,1,100,27,shrinkage,0.8664520573431153,0.20790924469146727,0.776130301649858,-3.5476699656696087e-17,0.00019604197586886585
numpy,3,product,1,100,27,mle,0.980430420516905,0.0924360560099887,0.9694051817551734,1.2409257973084043e-16,0.10778470800141804
numpy,3,product,1,500,27,linear,0.9888893314738313,0.10914867214324539,0.9896919999999999,-0.054785079707551566,0.0013738749839831144
numpy,3,product,1,500,27,projected,0.961195242526939,0.06990640884305621,0.9272772994791822,-7.825827269055012e-17,0.00013883301289752126
numpy,3,product,1,500,27,low_rank,0.9986552905449516,0.05186010004222728,0.9999999999999982,-6.004032559388327e-17,0.00012312500621192157
numpy,3,product,1,500,27,shrinkage,0.8917375177439806,0.13472522821018199,0.8016258311891686,-6.500807814630381e-17,0.00018504098989069462
numpy,3,product,1,500,27,mle,0.9893264842784587,0.03951874544856537,0.9802146132867171,5.561282056502501e-16,0.10752987500745803
numpy,3,product,2,100,27,linear,1.0,0.2148223549988195,1.0604999999999998,-0.13959636295263264,0.0013752090162597597
numpy,3,product,2,100,27,projected,0.944925007810478,0.10271528984381272,0.9004003854755043,-3.3666645740159345e-17,0.0001400829933118075
numpy,3,product,2,100,27,low_rank,0.9969988437947526,0.07747497873333113,0.9999999999999983,-1.534690924124812e-16,0.0001228339970111847
numpy,3,product,2,100,27,shrinkage,0.8833407364884864,0.15886295038549914,0.7919188451438464,-2.135175289364371e-17,0.00019358299323357642
numpy,3,product,2,100,27,mle,0.9799900001380601,0.04819607080055477,0.9623027954497511,-3.173218114179355e-17,0.10755775001598522
numpy,3,product,2,500,27,linear,1.0,0.09843508786821863,1.0451139999999999,-0.04962954338735438,0.0013644170248880982
numpy,3,product,2,500,27,projected,0.9839662130582912,0.05926496636840104,0.9714446810903004,-2.0656702051843058e-16,0.0001601249969098717
numpy,3,product,2,500,27,low_rank,0.9984246644795183,0.05613134723392834,1.0000000000000018,-2.3103249265525436e-16,0.00012541600153781474
numpy,3,product,2,500,27,shrinkage,0.9203323136592094,0.10832377372147274,0.8523985933426697,-1.8728768109424258e-16,0.00018674999591894448
numpy,3,product,2,500,27,mle,0.9912770927227439,0.035514873587642666,0.9838154416065723,2.071731506634179e-17,0.10675920799258165
numpy,3,haar,0,100,27,linear,0.9846816913484122,0.29830637899031254,1.05835,-0.17201411796251267,0.0013745840115007013
numpy,3,haar,0,100,27,projected,0.9109318156294635,0.190541069423573,0.8581694463434015,-5.432143263989774e-17,0.00013645802391692996
numpy,3,haar,0,100,27,low_rank,0.9866310118459445,0.16351767186951027,1.0000000000000004,-5.785764436759808e-17,0.00012133299605920911
numpy,3,haar,0,100,27,shrinkage,0.8529129957418863,0.22940064944375765,0.7584505848714878,-2.884471720591753e-17,0.00018179198377765715
numpy,3,haar,0,100,27,mle,0.956087607058513,0.08941761512718975,0.9201706358069013,7.0556549248917865e-15,0.10783491600886919
numpy,3,haar,0,500,27,linear,1.0,0.12629124792860213,1.032534,-0.06460156857928778,0.00135704199783504
