n_qubits,state_type,shots_per_setting,method,mean_fidelity,mean_hs_distance,mean_reconstruction_seconds,replicates
3,haar,100,linear,0.9737939809264068,0.2827645140625959,0.0015288056747522205,3
3,haar,100,low_rank,0.9866849581394992,0.16268982774046475,0.00012744433479383588,3
3,haar,100,mle,0.9654382733449419,0.08953625644223727,0.10767633300080585,3
3,haar,100,projected,0.9132696108367693,0.18681231532219256,0.0001638193401352813,3
3,haar,100,shrinkage,0.8545417628247431,0.22455972696337098,0.00019262500184898576,3
3,haar,500,linear,0.9995555367230163,0.10897359757957455,0.0013641943320787202,3
3,haar,500,low_rank,0.9986039116835208,0.052334840941274295,0.0001243330092014124,3
3,haar,500,mle,0.9895287132369391,0.038876108961718704,0.10683337500086054,3
3,haar,500,projected,0.973772794493667,0.06280074515437624,0.00014399965099679926,3
3,haar,500,shrinkage,0.9031402062947477,0.12262130607382937,0.00018730533580916622,3
3,mixed,100,linear,0.9214026946147668,0.25946585004856254,0.001359694676163296,3
3,mixed,100,low_rank,0.36493137441654766,0.7215227554831669,0.00012251367055190107,3
3,mixed,100,mle,0.8853578712419606,0.17016197965218882,0.10609993033964808,3
3,mixed,100,projected,0.8408022821363025,0.21923545367453853,0.0001386386575177312,3
3,mixed,100,shrinkage,0.8511566288267457,0.21382477485952753,0.00018422231854250035,3
3,mixed,500,linear,0.9836445430414008,0.12748596900431428,0.0013608336545682203,3
3,mixed,500,low_rank,0.3770517266056254,0.7044771094496177,0.00013847233882794777,3
3,mixed,500,mle,0.9664678034108802,0.08671946608662988,0.10673915266913052,3
3,mixed,500,projected,0.9520614958318484,0.11757292272024576,0.00014387498958967626,3
3,mixed,500,shrinkage,0.9569946374169552,0.1168808660945929,0.00020226366662730774,3
3,product,100,linear,0.9971966596957049,0.25662126861986595,0.00140247234958224,3
3,product,100,low_rank,0.9900670271865932,0.13472258604489049,0.00012900000244068602,3
3,product,100,mle,0.9787808103746799,0.0786595761055221,0.10802741633960977,3
3,product,100,projected,0.9272473566937318,0.15621573721686216,0.0001635276615464439,3
3,product,100,shrinkage,0.8701590878701623,0.2000333099643922,0.00019573598789672056,3
3,product,500,linear,0.9935699995815152,0.10558869097578431,0.0013703473280960072,3
3,product,500,low_rank,0.9982627161015832,0.05856472541741912,0.00012786066508851945,3
3,product,500,mle,0.989940066610754,0.03866018216615552,0.10721254166370879,3
3,product,500,projected,0.9700163176249661,0.06946157517764627,0.00015770834094534317,3
3,product,500,shrinkage,0.9029340253215007,0.12619129947930688,0.000189055329731976,3
