replicate,noise_case,method,fidelity_to_reconstruction_target,fidelity_to_ideal_pre_noise_state,ideal_to_target_fidelity,hs_distance_to_target,minimum_eigenvalue,physical,inference_seconds
0,finite_shots_only,linear_inversion,1.0,1.0,1.0,0.06487304842592943,-0.0322773193992737,False,0.00037358299596235156
0,finite_shots_only,maximum_likelihood,0.993748973491281,0.993748973491281,1.0,0.0503271689107921,9.632542358699722e-16,True,0.07368812500499189
0,finite_shots_only,neural_network,0.9568964566264747,0.9568964566264747,1.0,0.24527421968610458,0.00010619814935747807,True,0.00024016699171625078
0,global_depolarizing_p08,linear_inversion,0.9845013668879105,0.9498377229345338,0.9400000175310403,0.07190701538444498,-0.011396571879691677,False,0.00035420802305452526
0,global_depolarizing_p08,maximum_likelihood,0.9745256019994156,0.9424361893907008,0.9400000175310403,0.05996834077326734,6.316719840188169e-12,True,0.07173166697612032
0,global_depolarizing_p08,neural_network,0.9781063396180237,0.951039329654015,0.9400000175310403,0.16753970852185138,0.003865928674981947,True,0.00022387498756870627
0,amplitude_damping_p08,linear_inversion,1.0,0.9283034219061884,0.9263008363382216,0.05286913540963898,-0.01727184503569361,False,0.0003555829753167927
0,amplitude_damping_p08,maximum_likelihood,0.9939005604907453,0.9139085519032145,0.9263008363382216,0.06208629011324783,4.1395209634061877e-13,True,0.07170245802262798
0,amplitude_damping_p08,neural_network,0.9530325303113181,0.927709321650764,0.9263008363382216,0.2338711621778854,0.00705017984873135,True,0.0002103750011883676
0,phase_damping_p08,linear_inversion,0.9888269469423367,0.9373957186264067,0.9274189910882074,0.07789814834341285,-0.014157489362353112,False,0.0003514170239213854
0,phase_damping_p08,maximum_likelihood,0.9898669177615099,0.9554042158363668,0.9274189910882074,0.06856196232003937,9.681552048897338e-16,True,0.0707738749915734
0,phase_damping_p08,neural_network,0.9580998270285523,0.9520747856490466,0.9274189910882074,0.14500830386735195,0.0033153003318084507,True,0.00021229099365882576
0,biased_pauli_02_01_05,linear_inversion,0.9858166070219609,0.8613661965207166,0.8625357144881599,0.09099972186176804,-0.022053510621474093,False,0.0003542500198818743
0,biased_pauli_02_01_05,maximum_likelihood,0.9741007121546273,0.8596827254118302,0.8625357144881599,0.0684740518193695,7.828538559758946e-13,True,0.06974737500422634
0,biased_pauli_02_01_05,neural_network,0.9710236872539957,0.8882873765836956,0.8625357144881599,0.15217883053286452,0.019707680837781467,True,0.0002145830076187849
