n_qubits,dimension,samples,empirical_mean_overlap,expected_mean_overlap,relative_mean_error,empirical_second_moment,expected_second_moment,relative_second_moment_error,ks_distance_to_beta_1_d_minus_1,maximum_trace_error,maximum_purity_error
1,2,2500,0.504223828438038,0.5,0.00844765687607607,0.33579456767839183,0.3333333333333333,0.007383703035175548,0.013873188840802214,4.440892098500626e-16,1.1102230246251565e-15
2,4,2500,0.25006791465476497,0.25,0.0002716586190598669,0.09944048206628141,0.1,0.005595179337185979,0.012034996512673868,4.440892098500626e-16,8.881784197001252e-16
3,8,2500,0.1219131403338874,0.125,0.024694877328900855,0.026678874438523462,0.027777777777777776,0.0395605202131553,0.019922757801462687,6.661338147750939e-16,1.1102230246251565e-15
4,16,2500,0.06221720098236442,0.0625,0.004524784282169292,0.007345666494583014,0.007352941176470588,0.0009893567367100647,0.012331316236768211,6.661338147750939e-16,1.2212453270876722e-15
5,32,2500,0.03200467498730028,0.03125,0.02414959959360896,0.002002996220900893,0.001893939393939394,0.05758200463567148,0.013377668777939444,6.661338147750939e-16,1.3322676295501878e-15
