n_qubits,frobenius_error,minimum_eigenvalue,trace_error,passed_at_1e-10
1,2.8577957344009886e-16,2.0629924411967615e-19,0.0,True
2,1.4648906411639772e-16,-1.0313017672557799e-16,0.0,True
3,2.6850394114951397e-16,-8.361094730418236e-17,0.0,True
4,2.355849791298226e-16,-1.0847638332054097e-16,0.0,True
5,4.943886208535042e-16,-1.1536062199101023e-16,1.1102230246251565e-16,True
