n_qubits,dimension,settings_3_to_n,outcomes_across_settings_6_to_n,density_real_parameters_4_to_n,copies_at_200_shots,dense_density_mebibytes_complex128,dense_frequencies_mebibytes_float64,measurement_simulation_seconds,linear_inversion_seconds,linear_fidelity,mle_20_iterations_seconds,mle_fidelity
1,2,3,6,4,600,6.103515625e-05,4.57763671875e-05,0.0002289170224685222,0.00013629201566800475,0.9989601471809031,0.004283541988115758,0.9996929512448081
2,4,9,36,16,1800,0.000244140625,0.000274658203125,0.0005224589840508997,0.00034929101821035147,0.9604619843442632,0.024009999993722886,0.9913871557980444
3,8,27,216,64,5400,0.0009765625,0.00164794921875,0.0015616659948136657,0.0015346250147558749,0.9462821976898208,0.07372591597959399,0.9876124352631308
4,16,81,1296,256,16200,0.00390625,0.0098876953125,0.005179166997550055,0.007873291993746534,0.9559277306095826,0.25048183399485424,0.9815175677252722
5,32,243,7776,1024,48600,0.015625,0.059326171875,0.02122395799960941,0.04839266699855216,0.9295513154949139,not_run,not_run
6,64,729,46656,4096,145800,0.0625,0.35595703125,0.3513120409916155,0.4807150829874445,0.9108016687745571,not_run,not_run
7,128,2187,279936,16384,437400,0.25,2.1357421875,3.7323517499899026,3.8524987919954583,0.889205617525232,not_run,not_run
