method,samples,mean_hs_distance,mean_fidelity,physical_fraction,mean_inference_seconds
linear_inversion,60,0.0803627911858457,0.9929285535873549,0.15,0.00020330206665069756
maximum_likelihood,60,0.04820164524993197,0.9897667229139328,1.0,0.021236606233257287
neural_network,60,0.2699222585831932,0.9216370988367345,1.0,5.776596672149026e-05
