epoch,validation_loss
1,0.09832122832708186
2,0.06759008542952208
3,0.05776536992035033
4,0.0514138856284552
5,0.04674607104372016
6,0.043140907191120244
7,0.03992359375395946
8,0.037593592836767706
9,0.03538342712841171
10,0.03322628361054199
11,0.03131391477094861
12,0.029486476632999827
13,0.02776132019948742
14,0.026270552211221227
15,0.02484762691517971
16,0.023594244821792922
17,0.022303204394393896
18,0.021096762425502204
19,0.020126461714620705
20,0.019009018151676476
21,0.018163658405459228
22,0.01743642037974889
23,0.01672297493197319
24,0.016177670934769493
25,0.01545338729891072
26,0.01503570303596453
27,0.014534024088772808
28,0.014136879841556054
29,0.013893604154894351
30,0.01361695790254121
31,0.013443680632404737
32,0.013211712252314397
33,0.012904942171341268
34,0.012790332127133425
35,0.012505925794453083
36,0.01232619023204964
37,0.012177979847590137
38,0.012018507695413941
39,0.011948521638729455
40,0.01182305622103238
41,0.011556360195573863
42,0.011493719930355917
43,0.011374909332686377
44,0.011292472386404498
45,0.011253246170350372
46,0.011144360331682009
47,0.011054577473655507
48,0.01111215741911105
49,0.010846852323725781
50,0.010848180328195922
51,0.010719167550559629
52,0.010772715625953777
53,0.010590859444333297
54,0.010582029040292767
55,0.010388164240801636
56,0.010454773325340505
57,0.010298299974898189
58,0.010274147801887056
59,0.010251649626563997
60,0.010131503065112731
61,0.010107817797888614
62,0.010024818053828132
63,0.009975410563149977
64,0.00988575808552753
65,0.009859128605960938
66,0.009852628149345592
67,0.009806534741522958
68,0.009662375531154233
69,0.009688799537533837
70,0.009701190313084689
71,0.00955982719269703
72,0.009592650507266716
73,0.00953574414503054
74,0.009521435348426066
75,0.009419995504784642
76,0.009365061888312287
77,0.009383320173488844
78,0.0093082305289229
79,0.009570794583513694
80,0.009292383530956457
81,0.00929717383785389
82,0.00918188512257683
83,0.00928731122287036
84,0.009323370383880899
85,0.009162110522043196
86,0.009102630720315525
87,0.009161337810816865
88,0.009046936869728382
89,0.009029677338076025
90,0.009039239024161405
91,0.008989844234856898
92,0.00902284341942558
93,0.008936074604730667
94,0.008890190781865112
95,0.009029189357168437
96,0.008921872030042329
97,0.008859533318966531
98,0.008799761959773911
99,0.008916903675192388
100,0.008825283652571063
101,0.008775433839111666
102,0.008752679355467292
103,0.008776976413929827
104,0.008811427803895763
105,0.008733313741618684
106,0.008852717657497743
107,0.008717827266778992
108,0.008751831081863932
109,0.008723449066445324
110,0.008740969196996408
111,0.00859847685814407
112,0.008637533415597028
113,0.008625516720749841
114,0.008741924260653225
115,0.008611002521726124
116,0.008574301193083144
117,0.00847125790934223
118,0.008685140749871749
119,0.008559579502780296
120,0.008559282217444723
121,0.008504383249753025
122,0.008619803091994317
123,0.00854528411875778
124,0.00851703736980974
125,0.008536588847886478
126,0.008455822364204285
127,0.008471192869380199
128,0.008409812190102972
129,0.008503850279359347
130,0.008448216135103494
131,0.008450946364364291
132,0.008409990252123844
133,0.008377463757448607
134,0.008511885387148718
135,0.008428488472217771
136,0.008430583842359986
137,0.00839376636563165
138,0.008318482975224206
139,0.008443646115207844
140,0.008406862419880355
141,0.00846932790652304
142,0.00843187372877926
143,0.008417469913229357
144,0.00835085517280847
145,0.008332884903371638
146,0.008376924708412918
147,0.008340042311114706
148,0.008393601752878562
149,0.008270118872606638
150,0.00830005730654283
151,0.008503932596030621
152,0.008323318258217027
153,0.008349502714937451
154,0.008325570520290211
155,0.008329260354387497
156,0.008289179262523533
157,0.008262787350711363
158,0.008236973968355507
159,0.008202403701828589
160,0.008312029828606637
161,0.00837126889714308
162,0.008260179419236562
163,0.008274387810048293
164,0.008230300386196642
165,0.008307731915796125
166,0.008346597569358362
167,0.00827915249664465
168,0.008269182370772846
169,0.008347005822073709
170,0.008243447726538162
171,0.008231048441491908
172,0.008355590042625437
173,0.00824186822489406
174,0.008245131169153428
175,0.008269486411452356
176,0.008338558334999942
177,0.008227723904142713
178,0.008243569574290432
179,0.008281333121127527
180,0.008325606051873867
181,0.008205695896337573
182,0.008263394885233696
183,0.008218522492922237
184,0.008224997751856913
185,0.008330600584971214
186,0.008215224019758256
187,0.00827121679542444
188,0.008189183052743958
189,0.008198770458132375
190,0.008303806709718135
191,0.008224365290135876
192,0.008279436129595258
193,0.008202209696559264
194,0.00822968952975039
195,0.008296907406826957
196,0.008269978817102642
197,0.008261766891652715
198,0.008356385388170812
199,0.008131543620268416
200,0.008221903309466979
201,0.00830329065480766
202,0.008141854980898987
203,0.00826924663633851
204,0.008370687000112998
205,0.00826176703639938
206,0.00828414371743446
207,0.008222235838788734
208,0.00831323292291586
209,0.008317759903008176
210,0.008255693314082673
211,0.008202693169962588
212,0.008219045492392673
213,0.00824559069866574
214,0.008229191886224141
215,0.008288747800483729
216,0.008270870857852879
217,0.008196093761772444
218,0.008206049352648839
219,0.008230548847365366
220,0.008286193661404392
221,0.008265670583135164
222,0.008297934410116456
223,0.008288394394241349
224,0.008208567833102772
225,0.008211647466727987
226,0.008331985608531715
227,0.00825079980487198
228,0.008247989885431604
229,0.00817314980481277
230,0.008273126340081064
231,0.008213097923452406
232,0.0081704619268197
233,0.008302023795294298
234,0.008344698676570431
235,0.008313041593954759
236,0.008311825111862983
237,0.008186461051469866
238,0.008276845914265207
239,0.008347717150543277
