n_qubits,state_type,replicate,observable,observable_weight,method,requested_copy_budget,actual_total_copies,collection_total_copies,shots_per_qst_setting,exact_expectation,estimated_expectation,error,absolute_error,squared_error,estimate_standard_error,estimate_physical,inference_seconds
2,product,0,ZI,1,classical_shadow,90,90,90,not_applicable,0.9349820804155805,0.8666666666666667,-0.06831541374891381,0.06831541374891381,0.004666995755685282,0.14413199665385099,not_applicable,not_recorded_separately
2,product,0,ZI,1,direct_targeted_pauli,90,90,360,one_targeted_setting,0.9349820804155805,0.9777777777777777,0.04279569736219724,0.04279569736219724,0.0018314717127167757,0.02209842057803897,not_applicable,not_recorded_separately
2,product,0,ZI,1,direct_split_collection_budget,90,22,88,one_targeted_setting_per_observable,0.9349820804155805,0.9090909090909091,-0.025891171324671447,0.025891171324671447,0.000670352752563489,0.08881894735621769,not_applicable,not_recorded_separately
2,product,0,ZI,1,linear_inversion,90,90,90,10,0.9349820804155805,1.0,0.06501791958441949,0.06501791958441949,0.004227329867086039,not_available,False,0.000365041
2,product,0,ZI,1,rank_one_mle,90,90,90,10,0.9349820804155805,0.9262763328428836,-0.008705747572696931,0.008705747572696931,7.579004079951851e-05,not_available,True,0.020626584
2,product,0,ZI,1,neural_network,90,90,90,10,0.9349820804155805,0.6847050185550356,-0.2502770618605449,0.2502770618605449,0.06263860769354701,not_available,True,0.000281042
2,product,0,IZ,1,classical_shadow,90,90,90,not_applicable,0.30943239215428314,0.43333333333333335,0.1239009411790502,0.1239009411790502,0.015351443225054459,0.1745692040173779,not_applicable,not_recorded_separately
2,product,0,IZ,1,direct_targeted_pauli,90,90,360,one_targeted_setting,0.30943239215428314,0.3111111111111111,0.0016787189568279737,0.0016787189568279737,2.8180973360136002e-06,0.1001781677558766,not_applicable,not_recorded_separately
2,product,0,IZ,1,direct_split_collection_budget,90,22,88,one_targeted_setting_per_observable,0.30943239215428314,0.45454545454545453,0.1451130623911714,0.1451130623911714,0.021057800876544,0.18990289740621583,not_applicable,not_recorded_separately
2,product,0,IZ,1,linear_inversion,90,90,90,10,0.30943239215428314,0.6000000000000001,0.29056760784571695,0.29056760784571695,0.08442953472918235,not_available,False,0.000365041
2,product,0,IZ,1,rank_one_mle,90,90,90,10,0.30943239215428314,0.16470574390303144,-0.1447266482512517,0.1447266482512517,0.020945802714041537,not_available,True,0.020626584
2,product,0,IZ,1,neural_network,90,90,90,10,0.30943239215428314,0.07778951372745103,-0.23164287842683212,0.23164287842683212,0.053658423125868125,not_available,True,0.000281042
2,product,0,ZZ,2,classical_shadow,90,90,90,not_applicable,0.28931374176438146,0.7,0.4106862582356185,0.4106862582356185,0.16866320270357313,0.32516201666038985,not_applicable,not_recorded_separately
2,product,0,ZZ,2,direct_targeted_pauli,90,90,360,one_targeted_setting,0.28931374176438146,0.28888888888888886,-0.0004248528754925984,0.0004248528754925984,1.8049996581432934e-07,0.10091488216845275,not_applicable,not_recorded_separately
2,product,0,ZZ,2,direct_split_collection_budget,90,22,88,one_targeted_setting_per_observable,0.28931374176438146,0.09090909090909091,-0.19840465085529055,0.19840465085529055,0.039364405481009744,0.21231789386223354,not_applicable,not_recorded_separately
2,product,0,ZZ,2,linear_inversion,90,90,90,10,0.28931374176438146,0.6000000000000001,0.31068625823561863,0.31068625823561863,0.09652595105644951,not_available,False,0.000365041
2,product,0,ZZ,2,rank_one_mle,90,90,90,10,0.28931374176438146,0.1443878407589641,-0.14492590100541736,0.14492590100541736,0.021003516782232032,not_available,True,0.020626584
2,product,0,ZZ,2,neural_network,90,90,90,10,0.28931374176438146,0.039001321184363266,-0.2503124205800182,0.2503124205800182,0.0626563078966279,not_available,True,0.000281042
2,product,0,XX,2,classical_shadow,90,90,90,not_applicable,0.10623243224531331,0.2,0.0937675677546867,0.0937675677546867,0.00879235676262976,0.3172919118152412,not_applicable,not_recorded_separately
2,product,0,XX,2,direct_targeted_pauli,90,90,360,one_targeted_setting,0.10623243224531331,0.044444444444444446,-0.06178798780086887,0.06178798780086887,0.0038177554364803197,0.10530509597028714,not_applicable,not_recorded_separately
